Sample_seq_ID,Sample_source,Collection_date,Animal_ID,Age_category,Body_length_mm,Body_mass_g,Trapping_site,Reproduction_information,Sex,Epigenetic_age_days_Clock2
96-2_41,Skokholm,27/09/2019,SK0157,Juvenile,66.4,10.3,Quarry,Testes abdominal,Male,120.5240276
96-2_42,Skokholm,28/09/2020,SK0315,Juvenile,61.5,7.6,Observatory,Testes abdominal,Male,90.05457547
96-2_44,Skokholm,26/09/2020,SK0255,Juvenile,70.9,9.8,Observatory,Imperforate,Female?,138.9491921
96-2_45,Skokholm,27/09/2020,SK0255,Juvenile,67.5,9.7,Observatory,Imperforate,Female?,128.6417184
96-2_46,Skokholm,10/09/2020,SK0235,Sub-adult,86.5,17.6,Observatory,Testes small,Male,169.9469294
96-2_47,Skokholm,10/07/2019,SK0010,Adult,NA,33.6,Observatory,"Imperforate, Pregnant, Nipples",Female,353.7323365
96-2_5,Skokholm,27/09/2019,SK0029,Adult,NA,28.9,Quarry,Imperforate,Female,306.941405
96-2_50,Skokholm,24/09/2020,SK0311,Juvenile,67.8,9.3,Quarry,Testes abdominal,Male,142.3403236
96-2_51,Skokholm,26/09/2019,SK0141,Adult,90,31.9,Quarry,"Imperforate, Pregnant?",Female,240.0594646
96-2_52,Skokholm,26/09/2019,SK0146,Juvenile,71.3,13.6,Quarry,Imperforate,Female,57.04254397
96-2_53,Skokholm,10/09/2020,SK0234,Sub-adult,81.9,18.6,Observatory,Imperforate,Female,177.3302848
96-2_54,Skokholm,16/09/2020,X041A1F3083,Sub-adult,74,16.6,Quarry,Perforate,Female,127.2037064
96-2_55,Skokholm,11/07/2019,SK0026,Juvenile,NA,10.8,Observatory,Testes abdominal,Male,101.4542834
96-2_56,Skokholm,01/10/2019,SK0179,Adult,93,23.3,Observatory,Testes large,Male,160.9940953
96-2_57,Skokholm,27/09/2020,SK0315,Juvenile,62.9,7.1,Observatory,Testes abdominal,Male,75.50625639
96-2_59,Skokholm,09/07/2019,SK0003,Adult,NA,25.6,Observatory,"Imperforate, Nipples",Female,339.4600961
96-2_6,Skokholm,15/09/2020,SK0267,Juvenile,59.2,8.7,Quarry,Imperforate,Unclear,97.38208614
96-2_60,Skokholm,14/07/2019,SK0036,Adult,NA,26.3,Quarry,Testes abdominal,Male,333.5883692
96-2_61,Skokholm,20/07/2019,SK0029,Sub-adult,NA,16,Quarry,Testes abdominal,Female,109.2132534
96-2_62,Skokholm,14/07/2019,SK0028,Adult,NA,21.7,Quarry,Imperforate,Female,322.2770209
96-2_63,Skokholm,02/05/2019,SK0013,Adult,NA,20.8,Quarry,Testes small,Male,297.2789059
96-2_64,Skokholm,16/07/2019,SK0039,Adult,NA,26.3,Observatory,"Imperforate, Nipples",Female,277.9948706
96-2_65,Skokholm,22/09/2019,SK0103,Juvenile,66,11.5,Observatory,Testes abdominal,Male,60.83093891
96-2_66,Skokholm,22/09/2019,SK0003,Adult,98.2,27.5,Observatory,Perforate,Female,217.7564125
96-2_68,Skokholm,18/09/2020,SK0255,Juvenile,65.4,9.4,Observatory,Imperforate,Female?,131.7795983
96-2_7,Skokholm,01/10/2019,SK0175,Juvenile,70,9.3,Observatory,Imperforate,Female,110.6810064
96-2_70,Skokholm,26/09/2020,SK0282,Juvenile,75.8,11.9,Observatory,Testes abdominal,Male,95.88517764
96-2_71,Skokholm,19/08/2020,SK0179,Adult,91.8,24.5,Observatory,Testes abdominal,Male,337.0887396
96-2_72,Skokholm,11/07/2019,SK0005,Adult,NA,26,Observatory,"Imperforate, Nipples",Female,311.6761379
96-2_73,Skokholm,19/09/2020,SK0284,Juvenile,54.6,7,Observatory,Testes abdominal,Male,131.2193245
96-2_74,Skokholm,19/09/2020,SK0286,Juvenile,73.8,11.1,Observatory,Imperforate,Female,138.3187978
96-2_75,Skokholm,18/07/2019,SK0028,Adult,NA,22.7,Quarry,Imperforate,Female,309.7853857
96-2_76,Skokholm,22/09/2019,SK0006,Adult,101,33.4,Observatory,"Perforate, Pregnant, Nipples",Female,393.8745691
96-2_77,Skokholm,16/07/2019,SK0042,Juvenile,NA,5.9,Observatory,Testes abdominal,Male?,86.39584179
96-2_78,Skokholm,16/07/2019,SK0003,Adult,NA,25.1,Observatory,"Perforate, Comment",Female,331.4119345
96-2_79,Skokholm,19/09/2020,SK0290,Adult,85.8,23.3,Observatory,"Testes abdominal, Imperforate",Female,201.619047
96-2_8,Skokholm,18/07/2019,SK0047,Juvenile,NA,7.8,Quarry,Testes abdominal,Male?,96.88882101
96-2_80,Skokholm,28/09/2020,SK0223,Juvenile,71.9,10.2,Observatory,Imperforate,Unclear,81.70246182
96-2_81,Skokholm,28/09/2020,SK0318,Juvenile,69,7.1,Observatory,Imperforate,Female,104.1800495
96-2_82,Skokholm,22/09/2019,SK0110,Juvenile,69.2,9.2,Observatory,Imperforate,Female?,100.570708
96-2_83,Skokholm,15/07/2019,SK0001,Adult,NA,30.6,Observatory,Nipples,Female,352.5737442
96-2_84,Skokholm,28/09/2020,SK0234,Sub-adult,86.7,18.3,Observatory,Imperforate,Female,208.5175241
96-2_85,Skokholm,26/09/2020,SK0312,Juvenile,63.5,9.5,Observatory,Imperforate,Unclear,97.00474283
96-2_86,Skokholm,24/09/2020,SK0222,Adult,92.6,24.2,Quarry,Testes abdominal,Male,362.8663318
96-2_87,Skokholm,18/07/2019,SK0012,Adult,NA,28.7,Quarry,"Imperforate, Nipples, Comment",Female,233.0360393
96-2_89,Skokholm,19/09/2019,SK0061,Adult,87.9,23.8,Quarry,Imperforate,Female,171.4786835
